,adjclose,close,date,formatted_date,high,low,open,volume
0,9.064728736877441,10.0,961731900,2000-06-23,11.428600311279297,10.0,11.428600311279297,7938.0
1,11.654610633850098,12.857099533081055,961991100,2000-06-26,12.857099533081055,12.857099533081055,12.857099533081055,49.0
2,11.654610633850098,12.857099533081055,962077500,2000-06-27,12.857099533081055,12.857099533081055,12.857099533081055,245.0
3,12.94959831237793,14.285699844360352,962163900,2000-06-28,14.285699844360352,11.428600311279297,11.428600311279297,2009.0
4,11.654610633850098,12.857099533081055,962250300,2000-06-29,12.857099533081055,12.857099533081055,12.857099533081055,980.0
5,,,962336700,2000-06-30,,,,
6,9.064728736877441,10.0,962595900,2000-07-03,11.428600311279297,10.0,11.428600311279297,2695.0
7,9.064728736877441,10.0,962682300,2000-07-04,10.0,10.0,10.0,5488.0
8,9.064728736877441,10.0,962768700,2000-07-05,11.428600311279297,10.0,11.428600311279297,980.0
9,,,962855100,2000-07-06,,,,
10,,,962941500,2000-07-07,,,,
11,,,963200700,2000-07-10,,,,
12,7.769769191741943,8.571430206298828,963287100,2000-07-11,8.571430206298828,8.571430206298828,8.571430206298828,3920.0
13,7.769769191741943,8.571430206298828,963373500,2000-07-12,8.571430206298828,8.571430206298828,8.571430206298828,735.0
14,7.769769191741943,8.571430206298828,963459900,2000-07-13,8.571430206298828,8.571430206298828,8.571430206298828,833.0
15,5.179848670959473,5.714290142059326,963546300,2000-07-14,8.571430206298828,5.714290142059326,8.571430206298828,8771.0
16,6.474808216094971,7.142859935760498,963805500,2000-07-17,7.142859935760498,7.142859935760498,7.142859935760498,490.0
17,,,963891900,2000-07-18,,,,
18,,,963978300,2000-07-19,,,,
19,9.064728736877441,10.0,964064700,2000-07-20,10.0,10.0,10.0,245.0
20,,,964151100,2000-07-21,,,,
21,,,964410300,2000-07-24,,,,
22,11.654610633850098,12.857099533081055,964496700,2000-07-25,12.857099533081055,12.857099533081055,12.857099533081055,49.0
23,,,964583100,2000-07-26,,,,
24,,,964669500,2000-07-27,,,,
25,,,964755900,2000-07-28,,,,
26,,,965015100,2000-07-31,,,,
27,16.834470748901367,18.571399688720703,965101500,2000-08-01,18.571399688720703,18.571399688720703,18.571399688720703,784.0
28,16.834470748901367,18.571399688720703,965187900,2000-08-02,18.571399688720703,18.571399688720703,18.571399688720703,98.0
29,16.834470748901367,18.571399688720703,965274300,2000-08-03,18.571399688720703,18.571399688720703,18.571399688720703,98.0
30,16.834470748901367,18.571399688720703,965360700,2000-08-04,18.571399688720703,18.571399688720703,18.571399688720703,735.0
31,12.94959831237793,14.285699844360352,965619900,2000-08-07,14.285699844360352,14.285699844360352,14.285699844360352,98.0
32,,,965706300,2000-08-08,,,,
33,15.53957462310791,17.142900466918945,965792700,2000-08-09,17.142900466918945,17.142900466918945,17.142900466918945,24.0
34,18.129457473754883,20.0,965879100,2000-08-10,20.0,20.0,20.0,2.0
35,15.53957462310791,17.142900466918945,965965500,2000-08-11,25.71430015563965,17.142900466918945,25.71430015563965,983.0
36,14.244585037231445,15.714300155639648,966224700,2000-08-14,15.714300155639648,15.714300155639648,15.714300155639648,49.0
37,,,966311100,2000-08-15,,,,
38,,,966397500,2000-08-16,,,,
39,12.94959831237793,14.285699844360352,966483900,2000-08-17,18.571399688720703,14.285699844360352,18.571399688720703,196.0
40,15.53957462310791,17.142900466918945,966570300,2000-08-18,17.142900466918945,17.142900466918945,17.142900466918945,2964.0
41,,,966829500,2000-08-21,,,,
42,,,966915900,2000-08-22,,,,
43,19.424442291259766,21.428600311279297,967002300,2000-08-23,21.428600311279297,12.857099533081055,21.428600311279297,4901.0
44,18.129457473754883,20.0,967088700,2000-08-24,20.0,20.0,20.0,270.0
45,,,967175100,2000-08-25,,,,
46,16.834470748901367,18.571399688720703,967434300,2000-08-28,18.571399688720703,14.285699844360352,14.285699844360352,220.0
47,,,967520700,2000-08-29,,,,
48,18.129457473754883,20.0,967607100,2000-08-30,20.0,17.142900466918945,17.142900466918945,477.0
49,16.834470748901367,18.571399688720703,967693500,2000-08-31,18.571399688720703,18.571399688720703,18.571399688720703,12.0
50,,,967779900,2000-09-01,,,,
51,15.53957462310791,17.142900466918945,968039100,2000-09-04,17.142900466918945,17.142900466918945,17.142900466918945,294.0
52,16.834470748901367,18.571399688720703,968125500,2000-09-05,20.0,18.571399688720703,20.0,1225.0
53,14.244585037231445,15.714300155639648,968211900,2000-09-06,17.142900466918945,15.714300155639648,17.142900466918945,3969.0
54,14.244585037231445,15.714300155639648,968298300,2000-09-07,18.571399688720703,15.714300155639648,17.142900466918945,4263.0
55,15.53957462310791,17.142900466918945,968384700,2000-09-08,20.0,17.142900466918945,17.142900466918945,5096.0
56,18.129457473754883,20.0,968643900,2000-09-11,20.0,18.571399688720703,18.571399688720703,637.0
57,14.244585037231445,15.714300155639648,968730300,2000-09-12,20.0,15.714300155639648,20.0,8232.0
58,15.53957462310791,17.142900466918945,968816700,2000-09-13,18.571399688720703,17.142900466918945,18.571399688720703,1960.0
59,16.834470748901367,18.571399688720703,968903100,2000-09-14,18.571399688720703,17.142900466918945,17.142900466918945,245.0
60,16.834470748901367,18.571399688720703,968989500,2000-09-15,18.571399688720703,17.142900466918945,17.142900466918945,1103.0
61,,,969248700,2000-09-18,,,,
62,,,969335100,2000-09-19,,,,
63,15.53957462310791,17.142900466918945,969421500,2000-09-20,17.142900466918945,15.714300155639648,17.142900466918945,1176.0
64,14.244585037231445,15.714300155639648,969507900,2000-09-21,17.142900466918945,15.714300155639648,17.142900466918945,539.0
65,15.53957462310791,17.142900466918945,969594300,2000-09-22,17.142900466918945,15.714300155639648,17.142900466918945,735.0
66,,,969853500,2000-09-25,,,,
67,,,969939900,2000-09-26,,,,
68,,,970026300,2000-09-27,,,,
69,,,970112700,2000-09-28,,,,
70,,,970199100,2000-09-29,,,,
71,,,970458300,2000-10-02,,,,
72,,,970544700,2000-10-03,,,,
73,,,970631100,2000-10-04,,,,
