Outstanding Shares,2316859904
Share Price,151.6999969482422
Market Value,351467640366.3047
EPS,7.329999716472197
PE Ratio,21.091406
Enterprise Value,564198375424
Beta,2.051839
Cost of Equity,0.17478424700000003
Short Ratio,
